"0","\SHRINE\","SHRINE","N","CA ","\N","\N","","concept_cd","concept_dimension","concept_path","T","LIKE","\SHRINE\","","\N","\N","\N","\N","SHRINE","\N","@","\N"
"1","\SHRINE\ONTOLOGYVERSION\","ONTOLOGYVERSION","N","FH ","\N","\N","","concept_cd","concept_dimension","concept_path","T","LIKE","\SHRINE\ONTOLOGYVERSION\","","ONTOLOGYVERSION\","\N","\N","\N","SHRINE","\N","@","\N"
"2","\SHRINE\ONTOLOGYVERSION\SHRINE_DEMO-MedCo_Example\","SHRINE_DEMO-MedCo_Example","N","LH ","\N","\N","","concept_cd","concept_dimension","concept_path","T","LIKE","\SHRINE\ONTOLOGYVERSION\SHRINE_DEMO-MedCo_Example\","","ONTOLOGYVERSION\SHRINE_DEMO-MedCo_Example\","\N","\N","\N","SHRINE","\N","@","\N"

"1","\Admit Diagnosis\","Admit Diagnosis","N","RA ","\N","0","<?xml version=""1.0""?><ValueMetadata><Version>MedCo-0.1</Version><EncryptedType>MODIFIER_LEAF</EncryptedType><NodeEncryptID>1</NodeEncryptID></ValueMetadata>","MODIFIER_CD","MODIFIER_DIMENSION","MODIFIER_PATH","T","LIKE","\Admit Diagnosis\","\N","Admit Diagnosis","\N","\N","\N","\N","\N","\SHRINE\Diagnoses\Neoplasms (140-239.99)\%","\N"
"1","\Principal Diagnosis\","Principal Diagnosis","N","RA ","\N","1","<?xml version=""1.0""?><ValueMetadata><Version>MedCo-0.1</Version><EncryptedType>MODIFIER_LEAF</EncryptedType><NodeEncryptID>2</NodeEncryptID></ValueMetadata>","MODIFIER_CD","MODIFIER_DIMENSION","MODIFIER_PATH","T","LIKE","\Principal Diagnosis\","\N","Principal Diagnosis","\N","\N","\N","\N","\N","\SHRINE\Diagnoses\Neoplasms (140-239.99)\%","\N"
"1","\Secondary Diagnosis\","Secondary Diagnosis","N","RA ","\N","2","<?xml version=""1.0""?><ValueMetadata><Version>MedCo-0.1</Version><EncryptedType>MODIFIER_LEAF</EncryptedType><NodeEncryptID>3</NodeEncryptID></ValueMetadata>","MODIFIER_CD","MODIFIER_DIMENSION","MODIFIER_PATH","T","LIKE","\Secondary Diagnosis\","\N","Secondary Diagnosis","\N","\N","\N","\N","\N","\SHRINE\Diagnoses\Neoplasms (140-239.99)\%","\N"

"1","\SHRINE\Demographics\","Demographics","N","CA ","\N","\N","","concept_cd","concept_dimension","concept_path","T","LIKE","\SHRINE\Demographics\","","Demographics","\N","\N","\N","SHRINE","\N","@","\N"
"2","\SHRINE\Demographics\Gender\","Gender","N","CA ","\N","\N","","concept_cd","concept_dimension","concept_path","T","LIKE","\SHRINE\Demographics\Gender\","","Demographics\Gender","\N","\N","\N","SHRINE","\N","@","\N"
"3","\SHRINE\Demographics\Gender\Female\","Female","N","LA ","\N","SHRINE|SEX:F","","concept_cd","concept_dimension","concept_path","T","LIKE","\SHRINE\Demographics\Gender\Female\","","Demographics\Gender\Female","\N","\N","\N","SHRINE","\N","@","\N"
"3","\SHRINE\Demographics\Gender\Male\","Male","N","LA ","\N","SHRINE|SEX:M","","concept_cd","concept_dimension","concept_path","T","LIKE","\SHRINE\Demographics\Gender\Male\","","Demographics\Gender\Male","\N","\N","\N","SHRINE","\N","@","\N"
